user_id,event_type,device_id,ip_address,timestamp,amount
u_1001,register,d_501,192.168.1.100,2024-01-15T08:00:00Z,
u_1001,login,d_501,192.168.1.100,2024-01-15T08:05:00Z,
u_1001,transaction,d_501,192.168.1.100,2024-01-15T08:30:00Z,200.00
u_1001,transaction,d_501,192.168.1.100,2024-01-15T10:00:00Z,350.00
u_1001,login,d_501,192.168.1.100,2024-01-15T12:00:00Z,
u_1001,login_fail,d_501,192.168.1.100,2024-01-15T12:05:00Z,
u_1001,login,d_501,192.168.1.100,2024-01-15T12:06:00Z,
u_1001,transaction,d_501,192.168.1.100,2024-01-15T14:00:00Z,180.00
u_1001,transaction,d_501,192.168.1.100,2024-01-15T16:00:00Z,420.00
u_1001,login,d_501,192.168.1.100,2024-01-15T20:00:00Z,
u_1001,login_fail,d_501,192.168.1.100,2024-01-15T20:05:00Z,
u_1001,login,d_501,192.168.1.100,2024-01-15T20:06:00Z,
u_1001,transaction,d_501,192.168.1.100,2024-01-16T09:00:00Z,500.00
u_1001,login,d_501,192.168.1.100,2024-01-16T09:01:00Z,
u_1002,register,d_502,192.168.2.100,2024-01-15T09:00:00Z,
u_1002,login,d_502,192.168.2.100,2024-01-15T09:05:00Z,
u_1002,transaction,d_502,192.168.2.100,2024-01-15T09:30:00Z,1500.00
u_1002,login_fail,d_502,192.168.2.100,2024-01-15T11:00:00Z,
u_1002,login,d_502,192.168.2.100,2024-01-15T11:01:00Z,
u_1002,transaction,d_502,192.168.2.100,2024-01-15T13:00:00Z,800.00
u_1002,login,d_502,192.168.2.100,2024-01-15T18:00:00Z,
u_1002,transaction,d_502,192.168.2.100,2024-01-15T18:30:00Z,2200.00
u_1002,login,d_502,192.168.2.100,2024-01-16T08:00:00Z,
u_1002,transaction,d_502,192.168.2.100,2024-01-16T08:30:00Z,650.00
u_1002,login,d_502,192.168.2.100,2024-01-16T12:00:00Z,
u_1003,register,d_503,10.0.0.1,2024-01-15T07:00:00Z,
u_1003,login,d_503,10.0.0.1,2024-01-15T07:05:00Z,
u_1003,transaction,d_503,10.0.0.1,2024-01-15T08:00:00Z,3000.00
u_1003,login,d_503,10.0.0.1,2024-01-15T10:00:00Z,
u_1003,transaction,d_503,10.0.0.1,2024-01-15T10:30:00Z,1200.00
u_1003,login_fail,d_503,10.0.0.1,2024-01-15T13:00:00Z,
u_1003,login_fail,d_503,10.0.0.1,2024-01-15T13:01:00Z,
u_1003,login,d_503,10.0.0.1,2024-01-15T13:02:00Z,
u_1003,transaction,d_503,10.0.0.1,2024-01-15T15:00:00Z,950.00
u_1003,login,d_503,10.0.0.1,2024-01-16T09:00:00Z,
u_1003,transaction,d_503,10.0.0.1,2024-01-16T10:00:00Z,2800.00
u_1003,login,d_503,10.0.0.1,2024-01-16T14:00:00Z,
u_1003,login,d_501,10.0.0.1,2024-01-16T15:00:00Z,
u_1003,login,d_501,10.0.0.1,2024-01-16T15:05:00Z,
u_1004,register,d_504,172.16.0.1,2024-01-15T06:00:00Z,
u_1004,login,d_504,172.16.0.1,2024-01-15T06:05:00Z,
u_1004,transaction,d_504,172.16.0.1,2024-01-15T07:00:00Z,5000.00
u_1004,login,d_504,172.16.0.1,2024-01-15T09:00:00Z,
u_1004,login_fail,d_504,172.16.0.1,2024-01-15T11:00:00Z,
u_1004,login,d_504,172.16.0.1,2024-01-15T11:01:00Z,
u_1004,transaction,d_504,172.16.0.1,2024-01-15T12:00:00Z,750.00
u_1004,transaction,d_504,172.16.0.1,2024-01-15T14:00:00Z,3200.00
u_1004,login,d_504,172.16.0.1,2024-01-15T19:00:00Z,
u_1004,transaction,d_504,172.16.0.1,2024-01-16T08:00:00Z,1100.00
u_1004,transaction,d_504,172.16.0.1,2024-01-16T11:00:00Z,4300.00
u_1004,login,d_504,172.16.0.1,2024-01-16T15:00:00Z,
u_1004,login,d_504,172.16.0.1,2024-01-16T18:00:00Z,
u_1005,register,d_505,10.10.10.1,2024-01-15T08:30:00Z,
u_1005,login,d_505,10.10.10.1,2024-01-15T08:35:00Z,
u_1005,transaction,d_505,10.10.10.1,2024-01-15T09:00:00Z,600.00
u_1005,login,d_505,10.10.10.1,2024-01-15T12:00:00Z,
u_1005,transaction,d_505,10.10.10.1,2024-01-15T13:00:00Z,1200.00
u_1005,login_fail,d_505,10.10.10.1,2024-01-15T15:00:00Z,
u_1005,login,d_505,10.10.10.1,2024-01-15T15:01:00Z,
u_1005,transaction,d_505,10.10.10.1,2024-01-16T10:00:00Z,900.00
u_1005,login,d_505,10.10.10.1,2024-01-16T10:01:00Z,
u_1005,transaction,d_505,10.10.10.1,2024-01-16T14:00:00Z,2500.00
u_1006,register,d_601,10.0.100.1,2024-01-15T00:30:00Z,
u_1006,login,d_601,10.0.100.1,2024-01-15T00:31:00Z,
u_1006,login_fail,d_601,10.0.100.2,2024-01-15T00:45:00Z,
u_1006,login_fail,d_601,10.0.100.3,2024-01-15T01:00:00Z,
u_1006,login,d_601,10.0.100.4,2024-01-15T01:15:00Z,
